XYDATA,128_03,32_01,32_02,32_03,64_01,64_02,64_03,128_01,128_02,4_02,4_03,8_01,8_02,8_03,16_01,16_02,16_03,0.2_03,1_01,1_02,1_03,2_01,2_02,2_03,4_01,0.2_02,0.2_01,0.1_03,0.1_02,0.1_01
3266.1099,501.637,497.68,496.608,498.718,500.161,497.479,499.706,506.162,503.953,499.067,495.038,497.179,495.989,497.105,494.864,496.117,494.84,497.201,493.546,496.4,497.224,494.309,494.221,497.728,495.404,496.921,495.887,496.475,495.862,498.869
3267.1099,500.366,496.777,496.521,497.272,497.895,496.958,498.171,501.311,504.288,500.251,498.116,497.064,500.037,499.387,496.226,495.324,496.273,499.324,495.29,499.294,499.774,494.887,496.456,496.474,495.888,496.795,495.481,495.007,493.729,496.325
3268.1099,502.812,495.287,496.369,496.183,496.292,497.845,497.973,498.419,501.772,497.085,498.796,496.594,500.463,498.315,497.716,494.425,497.014,499.249,495.682,498.678,499.571,494.965,494.623,493.488,496.085,498.678,496.185,496.413,493.714,495.663
3269.1099,507.472,496.328,497.79,497.253,497.879,499.698,499.774,501.699,503.085,494.498,496.71,495.928,498.917,495.818,499.142,495.642,496.371,498.484,495.525,496.927,497.244,494.462,492.504,492.031,495.402,499.377,497.645,498.009,495.742,495.988
3270.1099,511.127,501.108,501.467,500.276,503.005,501.576,502.618,510.57,512.267,497.143,493.662,495.511,498.662,495.068,500.198,501.327,494.86,498.809,496.347,497.349,495.33,494.502,494.876,494.051,494.491,496.59,498.393,496.752,497.681,495.182
3271.1099,510.688,502.818,501.932,499.265,504.856,502.896,502.172,512.704,515.622,499.339,492.392,496.729,495.903,494.876,499.377,503.699,494.792,497.774,497.297,497.108,496.367,495.498,496.773,495.918,494.897,495.85,496.22,497.186,496.551,494.203
3272.1099,506.202,499.303,498.126,494.331,501.343,502.699,497.883,505.094,508.344,498.114,493.515,498.801,492.142,494.25,496.807,498.345,496.754,495.363,497.579,495.347,499.462,496.813,495.829,495.719,496.321,498.471,492.24,499.572,493.119,494.18
3273.1099,501.993,496.481,496.183,494.547,498.422,499.758,495.003,499.847,501.9,496.678,494.619,498.202,496.676,493.642,495.067,495.893,498.586,495.599,497.133,495.217,499.513,496.777,495.533,495.246,496.015,498.492,491.845,497.166,493.012,495.525
3274.1099,502.244,495.989,496.932,498.348,498.854,497.033,495.822,500.787,502.218,496.032,494.989,496.965,503.388,494.367,495.403,498.583,499.031,497.877,496.522,496.44,497.567,496.462,496.881,495.458,495.004,496.123,494.797,493.084,495.83,496.52
3275.1099,508.593,496.327,497.752,498.666,502.046,498.783,499.644,505.062,508.883,495.663,495.17,499.252,499.768,497.33,497.59,498.312,497.93,498.906,496.45,496.773,497.853,497.853,498.867,496.38,495.987,495.207,497.354,494.832,497.487,495.004
